"bbref_id","age2021","PA1","PA2","PA3","PA4","bats","Team2021","POS_2021","wOPS_2020","wOPS_2019","wOPS_2018","wOPS_2017","wwRCplus_2020","wwRCplus_2019","wwRCplus_2018","wwRCplus_2017","LAVG","RAVG","avg_ops","reliability","D_regressed_ops","age_adjustment","park_factor","avg_wRCplus","wRC_reliability","D_regressed_wRCplus","BETTER_THAN_MARCEL_OPS","MARCEL_OPS"
"polangr01",28,174,167,535,411,"L","PIT","OF",0.539,0.726,0.839,0.695,40,87,123,81,104,97,0.676333333333333,0.421965317919075,0.701574181117534,0.006,104,76.4166666666667,0.421965317919075,90.0486512524085,0.705569356531792,0.705783626204239
"polanjo01",26,226,704,333,544,"B","MIN","2B",0.658,0.841,0.773,0.723,82,120,111,90,102,99,0.74775,0.51278928136419,0.734229902557856,0.018,101.16,101.916666666667,0.51278928136419,100.982846122615,0.753196526257125,0.747446040803898
"polloaj01",32,210,342,460,466,"R","LAD","OF",0.881,0.795,0.8,0.801,130,107,110,103,98,98,0.832083333333333,0.45750452079566,0.771278631705847,-0.009,98,117.333333333333,0.45750452079566,107.930078360458,0.768113065619349,0.764337124020494
"pujolal01",40,163,545,498,636,"R","LAA","1B",0.665,0.734,0.7,0.672,74,90,88,77,101,101,0.69675,0.501246882793017,0.708346009975062,-0.033,101,82.8333333333333,0.501246882793017,91.3952618453865,0.676004621661471,0.684970591645885
"ramirjo01",27,254,542,698,645,"B","CLE","3B",0.993,0.806,0.939,0.957,167,108,147,146,102,99,0.917166666666667,0.55456570155902,0.829341870824053,0.012,101.16,142.333333333333,0.55456570155902,123.476614699332,0.877968203485969,0.839293973273942
"ramoswi01",32,155,524,416,224,"R","DET","C",0.684,0.768,0.844925480769231,0.737,90,106,131.971153846154,93,97,101,0.752231370192308,0.477124183006536,0.735378366170186,-0.009,101,105.826121794872,0.477124183006536,102.779783601475,0.736406649065151,0.728759960901933
"realmjt01",29,195,593,531,579,"R","PHI","C",0.84,0.82,0.825,0.783,124,107,127,107,104,101,0.829583333333333,0.523620484319174,0.777380078073309,0,101,119.083333333333,0.523620484319174,109.992424242424,0.795656069372767,0.77738007807331
"reddijo01",33,210,550,487,540,"L","ARI","OF",0.693,0.728,0.718,0.847,92,92,99,127,100,100,0.710916666666667,0.509603596240294,0.715371100667484,-0.012,100,93.75,0.509603596240294,96.8149775234982,0.702200215093312,0.706786647459474
"rendoan01",30,232,646,597,605,"R","LAA","3B",0.915,0.101,0.909,0.937,152,155,140,141,101,101,0.642166666666667,0.551401869158878,0.677082554517134,-0.003,101,150,0.551401869158878,127.570093457944,0.71812749796729,0.841624848909657
"renfrhu01",28,139,494,441,479,"R","BOS","OF",0.645,0.778,0.805,0.751,78,99,114,94,106,104,0.729333333333333,0.472295514511873,0.724408091468777,0.006,104,94,0.472295514511873,97.1662269129288,0.739248997572559,0.72875454001759
"rizzoan01",30,243,613,665,691,"L","CHC","1B",0.755,0.924,0.846,0.899,103,140,126,134,98,100,0.834083333333333,0.558985667034179,0.783770948180816,-0.003,98,121.083333333333,0.558985667034179,111.785281146637,0.790576243834068,0.781419635336273
"rojasmi02",31,143,526,528,306,"R","MIA","SS",0.888,0.71,0.643,0.736,140,90,79,98,93,96,0.767416666666667,0.499374217772215,0.743678660826033,-0.006,96,108.083333333333,0.499374217772215,104.036608260325,0.730244972978723,0.739216588861076
"rominau01",31,135,240,265,252,"R","CHC","C",0.582,0.748,0.713,0.565,57,96,92,50,98,100,0.670083333333333,0.347826086956522,0.70263768115942,-0.006,100,78.75,0.347826086956522,92.6086956521739,0.687778376811594,0.698421855072464
"rosaram01",24,147,655,592,170,"R","CLE","SS",0.643,0.755,0.676,0.665,76,101,85,75,102,99,0.688583333333333,0.53739398612182,0.703116872269339,0.03,99,86.5833333333333,0.53739398612182,92.7899640195322,0.710206874733359,0.72421037843742
"rosared01",28,231,590,592,589,"L","CLE","OF",0.792,0.8,0.803,0.836,112,104,114,117,102,99,0.797416666666667,0.540757749712974,0.761863662456946,0.006,102,109.833333333333,0.540757749712974,105.317451205511,0.78175632261194,0.766434844431688
